,contributor,app
0,flyio-buildbot,False
1,blockstack-devops,False
2,SMillerDev,False
3,petere,False
4,bfontaine,False
5,zuisong,False
6,asyncapi-bot-eve,False
7,EricFromCanada,False
8,Moulick,False
9,BrewTestBot,False
10,carlocab,False
11,ddollar,False
12,seratch,False
13,sferik,False
14,samford,False
15,jesseduffield,False
16,claui,False
17,jeremylong,False
18,tchajed,False
19,FnControlOption,False
20,flyio-flyctl-bot,False
21,avsm,False
22,denysdovhan,False
23,derrabus,False
24,github-merge-queue[bot],True
25,jidicula,False
26,bevanjkay,False
27,branchvincent,False
28,nevack,False
29,mkhl,False
30,wing328,False
31,stgraber,False
32,soloio-bot,False
33,matchai,False
34,kevinAlbs,False
35,curquiza,False
36,dandavison,False
37,pulumi-bot,False
38,epistrephein,False
39,github-actions[bot],True
