contributor,commit,issue,pr,repo,type
BrewTestBot,67.0,,93.0,90.0,Bot
EricFromCanada,18.0,12.0,21.0,33.0,Human
FnControlOption,18.0,5.0,4.0,6.0,Human
Moulick,100.0,63.0,22.0,105.0,Human
SMillerDev,55.0,48.0,65.0,15.0,Human
asyncapi-bot-eve,157.0,,,11.0,Bot
avsm,20.0,33.0,18.0,7.0,Human
bevanjkay,66.0,16.0,80.0,22.0,Human
bfontaine,90.0,37.0,3.0,61.0,Human
blockstack-devops,34.0,101.0,6.0,69.0,Bot
branchvincent,28.0,9.0,62.0,95.0,Human
carlocab,31.0,35.0,56.0,14.0,Human
claui,72.0,17.0,69.0,118.0,Human
curquiza,34.0,117.0,31.0,27.0,Human
dandavison,122.0,47.0,53.0,50.0,Human
ddollar,30.0,2.0,3.0,36.0,Human
denysdovhan,24.0,16.0,21.0,44.0,Human
derrabus,53.0,56.0,73.0,23.0,Human
epistrephein,69.0,9.0,11.0,70.0,Human
flyio-buildbot,,,,300.0,Bot
flyio-flyctl-bot,,,8.0,8.0,Bot
github-actions[bot],260.0,14.0,3.0,19.0,App
github-merge-queue[bot],78.0,,,222.0,App
jeremylong,33.0,154.0,44.0,28.0,Human
jesseduffield,49.0,92.0,48.0,28.0,Human
jidicula,70.0,6.0,39.0,43.0,Human
kevinAlbs,81.0,8.0,119.0,22.0,Human
matchai,250.0,,17.0,31.0,Human
mkhl,23.0,8.0,17.0,27.0,Human
nevack,56.0,92.0,62.0,35.0,Human
petere,5.0,9.0,4.0,1.0,Human
pulumi-bot,29.0,30.0,133.0,45.0,Bot
samford,41.0,19.0,65.0,80.0,Human
seratch,69.0,73.0,58.0,35.0,Human
sferik,43.0,41.0,10.0,6.0,Human
soloio-bot,203.0,7.0,37.0,10.0,Bot
stgraber,106.0,86.0,46.0,9.0,Human
tchajed,112.0,18.0,15.0,21.0,Human
wing328,46.0,76.0,69.0,36.0,Human
zuisong,120.0,27.0,53.0,89.0,Human
